model,state,theta_0,theta_j,d_0,d_j,num_base_tables,num_unique_dishes
Independent,1,135.57 ± 11.20,1227.00 ± 90.26,0.0222 ± 0.0245,0.0261 ± 0.0237,15.0,15.0
Independent,2,136.43 ± 10.03,1220.17 ± 75.04,0.0165 ± 0.0167,0.0431 ± 0.0466,17.0,17.0
Independent,3,142.39 ± 8.68,1245.74 ± 80.66,0.0090 ± 0.0073,0.0289 ± 0.0278,25.0,25.0
Independent,4,131.84 ± 9.64,1243.02 ± 85.17,0.0266 ± 0.0276,0.0322 ± 0.0332,11.0,11.0
Dependent,ALL (shared),80.54 ± 4.63,45.46 ± 2.67,0.0063 ± 0.0059,0.0041 ± 0.0043,36.0,36.0
