model,state,theta_0,theta_j,d_0,d_j,num_base_tables,num_unique_dishes
Independent,1,835.60 ± 42.79,741.18 ± 73.36,0.8801 ± 0.0851,0.1216 ± 0.0519,16.0,16.0
Independent,2,761.06 ± 54.75,1247.32 ± 31.65,0.1635 ± 0.0210,0.5991 ± 0.0661,17.0,17.0
Independent,3,1249.85 ± 45.40,1060.05 ± 41.75,0.5201 ± 0.0399,0.4352 ± 0.0580,25.0,25.0
Independent,4,1018.57 ± 23.96,759.80 ± 61.26,0.6043 ± 0.0408,0.5465 ± 0.0630,11.0,11.0
Dependent,ALL (shared),777.44 ± 74.83,1182.87 ± 71.03,0.1905 ± 0.0482,0.6573 ± 0.0576,37.0,37.0
