model,state,theta_0,theta_j,d_0,d_j,num_base_tables,num_unique_dishes
Independent,FL,928.88 ± 54.43,1003.72 ± 30.40,0.5209 ± 0.0537,0.3777 ± 0.0333,316.0,316.0
Independent,NY,779.09 ± 46.63,683.09 ± 43.96,0.4056 ± 0.0278,0.6012 ± 0.0442,308.0,308.0
Independent,CA,1039.64 ± 42.63,1231.96 ± 52.36,0.5275 ± 0.0375,0.4210 ± 0.0572,437.0,437.0
Independent,TX,1223.19 ± 53.25,1228.57 ± 65.11,0.6976 ± 0.0451,0.1159 ± 0.0425,443.0,443.0
Dependent,ALL (shared),1047.14 ± 52.82,969.93 ± 37.55,0.0562 ± 0.0458,0.1185 ± 0.0772,648.0,648.0
