model,state,theta_0,theta_j,d_0,d_j,num_base_tables,num_unique_dishes
Independent,FL,449.95 ± 26.91,1382.34 ± 71.46,0.0041 ± 0.0050,0.0212 ± 0.0192,316.0,316.0
Independent,NY,439.30 ± 23.51,1377.17 ± 81.19,0.0037 ± 0.0024,0.0264 ± 0.0230,308.0,308.0
Independent,CA,648.12 ± 33.28,1435.43 ± 73.20,0.0045 ± 0.0033,0.0786 ± 0.0674,437.0,437.0
Independent,TX,662.20 ± 31.72,1437.05 ± 88.80,0.0049 ± 0.0053,0.0821 ± 0.0690,443.0,443.0
Dependent,ALL (shared),346.76 ± 14.98,1530.01 ± 76.85,0.0031 ± 0.0020,0.0680 ± 0.0415,648.0,648.0
